sample_id,domain,url,split,label,p_url,p_website,p_visual,has_password_field,has_external_password_form,external_action_count,login_forms_count,external_link_ratio,null_link_ratio,security_header_score,has_centered_card,whitespace_ratio,edge_density,url_length,entropy_score,count_subdomains,has_ip_address,has_punycode
sample_001_paypal-account-revalidation_net,paypal-account-revalidation.net,https://paypal-account-revalidation.net/webapps/security-check,train,1,0.9105,0.9707,0.9759,1,1,1,1,0.0,0.0,0.0,1,0.959,0.0175,62,0.0,0,0,0
sample_002_wellsfarg0-secure-authentication_com,wellsfarg0-secure-authentication.com,https://wellsfarg0-secure-authentication.com/auth/login,train,1,0.8676,0.9707,0.9724,1,1,1,1,0.0,0.0,0.0,1,0.154,0.0217,55,0.0,0,0,0
sample_003_chase-security-update-portal_org,chase-security-update-portal.org,https://chase-security-update-portal.org/secure/login,train,1,0.8242,0.9707,0.9955,1,1,1,1,0.0,0.0,0.0,0,0.166,0.0181,53,0.0,0,0,0
sample_006_apple-id-suspended-security_net,apple-id-suspended-security.net,https://apple-id-suspended-security.net/auth/verify,train,1,0.845,0.9707,0.9937,1,1,1,1,0.0,0.0,0.0,1,0.965,0.0167,51,0.0,0,0,0
sample_007_amazon-prime-delivery-update_info,amazon-prime-delivery-update.info,https://amazon-prime-delivery-update.info/order/reschedule,train,1,0.8538,0.9707,0.963,1,1,1,1,0.0,0.0,0.0,1,0.98,0.0171,58,0.0,0,0,0
sample_009_bankofamerica-online-id-verify_com,bankofamerica-online-id-verify.com,https://bankofamerica-online-id-verify.com/login,train,1,0.3996,0.9707,0.9898,1,1,1,1,0.0,0.0,0.0,1,0.912,0.0199,48,0.0,0,0,0
sample_011_linkedin-security-verification_com,linkedin-security-verification.com,https://linkedin-security-verification.com/checkpoint/lg/login,train,1,0.8905,0.9707,0.9932,1,1,1,1,0.0,0.0,0.0,1,0.097,0.0129,62,0.0,0,0,0
sample_012_instagram-copyright-infringement_org,instagram-copyright-infringement.org,https://instagram-copyright-infringement.org/appeal/form,train,1,0.8338,0.9707,0.9249,1,1,1,1,0.0,0.0,0.0,1,0.984,0.0138,56,0.0,0,0,0
sample_014_outlook-session-expired-portal_com,outlook-session-expired-portal.com,https://outlook-session-expired-portal.com/owa/auth,train,1,0.6482,0.9707,0.9953,1,1,1,1,0.0,0.0,0.0,0,0.117,0.0131,51,0.0,0,0,0
sample_015_steam-community-trade-security_com,steam-community-trade-security.com,https://steam-community-trade-security.com/trade/offer,train,1,0.845,0.9707,0.9501,1,1,1,1,0.0,0.0,0.0,1,0.001,0.0058,54,0.0,0,0,0
sample_016_coinbase-urgent-kyc-verify_net,coinbase-urgent-kyc-verify.net,https://coinbase-urgent-kyc-verify.net/signin,train,1,0.3098,0.9707,0.9814,1,1,1,1,0.0,0.0,0.0,1,0.001,0.0081,45,0.0,0,0,0
